source,target,anchor,rel,representation,internal,target_status,target_error,target_missing_content_candidate,checked
https://beehivedesign.vercel.app/,https://beehivedesign.vercel.app/,,[],raw,True,200,,False,True
https://beehivedesign.vercel.app/,https://beehivedesign.vercel.app/,Home,[],raw,True,200,,False,True
https://beehivedesign.vercel.app/,https://beehivedesign.vercel.app/seo-services-ireland,SEO Services,[],raw,True,200,,False,True
https://beehivedesign.vercel.app/,https://beehivedesign.vercel.app/seo-consultant-ireland,SEO Consultant,[],raw,True,200,,False,True
https://beehivedesign.vercel.app/,https://beehivedesign.vercel.app/local-seo-services-ireland,Local SEO,[],raw,True,200,,False,True
https://beehivedesign.vercel.app/,https://beehivedesign.vercel.app/about,About,[],raw,True,200,,False,True
https://beehivedesign.vercel.app/,https://beehivedesign.vercel.app/blog,Blog,[],raw,True,200,,False,True
https://beehivedesign.vercel.app/,https://beehivedesign.vercel.app/contact,Contact,[],raw,True,200,,False,True
https://beehivedesign.vercel.app/,https://beehivedesign.vercel.app/contact,Free SEO Audit,[],raw,True,200,,False,True
https://beehivedesign.vercel.app/,https://beehivedesign.vercel.app/contact,Request a Free SEO Audit,[],raw,True,200,,False,True
https://beehivedesign.vercel.app/,https://beehivedesign.vercel.app/seo-services-ireland,Explore SEO Services,[],raw,True,200,,False,True
https://beehivedesign.vercel.app/,https://beehivedesign.vercel.app/local-seo-services-ireland,"01 Local SEO Rank in Dublin, Cork, Galway and across Ireland for the searches your customers actually make. ↗",[],raw,True,200,,False,True
https://beehivedesign.vercel.app/,https://beehivedesign.vercel.app/seo-services-ireland,02 eCommerce & Shopify SEO Optimised product and category pages that convert browsers into buyers. ↗,[],raw,True,200,,False,True
https://beehivedesign.vercel.app/,https://beehivedesign.vercel.app/seo-services-ireland,"03 Technical SEO Site speed, crawlability, indexing and schema fixes that give Google exactly what it wants. ↗",[],raw,True,200,,False,True
https://beehivedesign.vercel.app/,https://beehivedesign.vercel.app/seo-services-ireland,"04 On-Page SEO Meta titles, content structure and internal linking engineered around search intent. ↗",[],raw,True,200,,False,True
https://beehivedesign.vercel.app/,https://beehivedesign.vercel.app/seo-services-ireland,"05 Off-Page SEO Backlinks, citations and domain authority growth that compounds month after month. ↗",[],raw,True,200,,False,True
https://beehivedesign.vercel.app/,https://beehivedesign.vercel.app/blog,06 SEO Content & Blog Strategy Monthly keyword-targeted content that builds topical authority and brings in leads. ↗,[],raw,True,200,,False,True
https://beehivedesign.vercel.app/,https://beehivedesign.vercel.app/contact,07 SEO Audits One-time or recurring SEO health reports — start with a free audit today. ↗,[],raw,True,200,,False,True
https://beehivedesign.vercel.app/,https://beehivedesign.vercel.app/seo-services-ireland,"08 AI Visibility Optimisation Get found across ChatGPT and AI-driven search experiences, not just Google. ↗",[],raw,True,200,,False,True
https://beehivedesign.vercel.app/,https://beehivedesign.vercel.app/local-seo-services-ireland,Dublin Target competitive markets in the capital,[],raw,True,200,,False,True
https://beehivedesign.vercel.app/,https://beehivedesign.vercel.app/local-seo-services-ireland,Cork Dominate local & service-based queries,[],raw,True,200,,False,True
https://beehivedesign.vercel.app/,https://beehivedesign.vercel.app/local-seo-services-ireland,Galway Grow your local brand in the west,[],raw,True,200,,False,True
https://beehivedesign.vercel.app/,https://beehivedesign.vercel.app/local-seo-services-ireland,Waterford Regionally optimised SEO content,[],raw,True,200,,False,True
https://beehivedesign.vercel.app/,https://beehivedesign.vercel.app/local-seo-services-ireland,Limerick Local visibility that drives enquiries,[],raw,True,200,,False,True
