url,depth,source,state,reason
https://beehivedesign.vercel.app/,0,seed,done,
https://beehivedesign.vercel.app/seo-services-ireland,1,anchor,done,
https://beehivedesign.vercel.app/seo-consultant-ireland,1,anchor,done,
https://beehivedesign.vercel.app/local-seo-services-ireland,1,anchor,done,
https://beehivedesign.vercel.app/about,1,anchor,done,
https://beehivedesign.vercel.app/blog,1,anchor,done,
https://beehivedesign.vercel.app/contact,1,anchor,done,
https://beehivedesign.vercel.app/blog/top-seo-consultant-in-ireland-what-is-seo-why-your-business-needs-it,1,anchor,done,
https://beehivedesign.vercel.app/blog/best-seo-consultants-agencies-in-ireland-2025-edition,1,anchor,done,
https://beehivedesign.vercel.app/blog/app-development-cost-in-ireland-your-guide-to-building-apps-in-2025,1,anchor,done,
https://beehivedesign.vercel.app/sitemap.xml,1,anchor,done,
https://beehivedesign.vercel.app/blog/top-10-private-practice-marketing-companies-in-the-usa,2,anchor,done,
https://beehivedesign.vercel.app/blog/10-best-wedding-planners-in-ireland-for-2026,2,anchor,done,
https://beehivedesign.vercel.app/blog/top-10-best-seo-companies-in-ireland-2025-rankings-reviews,2,anchor,done,
https://beehivedesign.vercel.app/blog/top-10-seo-companies-in-cork-ireland-2025-edition,2,anchor,done,
https://beehivedesign.vercel.app/blog/best-shopify-seo-agencies-in-ireland,2,anchor,done,
https://beehivedesign.vercel.app/blog/5-digital-marketing-trends-shaping-the-irish-business-scene,2,anchor,done,
https://beehivedesign.vercel.app/blog/the-power-of-localized-marketing-in-ireland,2,anchor,done,
https://beehivedesign.vercel.app/blog/strategic-brand-positioning-for-irish-marketing-agencies,2,anchor,done,
